X=96, Y=261, Pressure=1553, Time=2016-05-16-17-33-33:2089
X=97, Y=261, Pressure=1571, Time=2016-05-16-17-33-33:2099
X=97, Y=262, Pressure=1567, Time=2016-05-16-17-33-33:2149
X=97, Y=262, Pressure=1571, Time=2016-05-16-17-33-33:2179
X=98, Y=263, Pressure=1594, Time=2016-05-16-17-33-33:2249
X=99, Y=264, Pressure=1602, Time=2016-05-16-17-33-33:2289
X=100, Y=265, Pressure=1598, Time=2016-05-16-17-33-33:2349
X=101, Y=266, Pressure=1635, Time=2016-05-16-17-33-33:2399
X=102, Y=267, Pressure=1629, Time=2016-05-16-17-33-33:2439
X=103, Y=268, Pressure=1665, Time=2016-05-16-17-33-33:2499
X=105, Y=269, Pressure=1665, Time=2016-05-16-17-33-33:2539
X=108, Y=271, Pressure=1672, Time=2016-05-16-17-33-33:2609
X=111, Y=272, Pressure=1678, Time=2016-05-16-17-33-33:2639
X=114, Y=273, Pressure=1661, Time=2016-05-16-17-33-33:2699
X=118, Y=274, Pressure=1668, Time=2016-05-16-17-33-33:2739
X=122, Y=275, Pressure=1672, Time=2016-05-16-17-33-33:2799
X=126, Y=276, Pressure=1668, Time=2016-05-16-17-33-33:2839
X=130, Y=277, Pressure=1670, Time=2016-05-16-17-33-33:2899
X=134, Y=278, Pressure=1678, Time=2016-05-16-17-33-33:2949
X=139, Y=278, Pressure=1659, Time=2016-05-16-17-33-33:3009
X=143, Y=278, Pressure=1663, Time=2016-05-16-17-33-33:3039
X=148, Y=279, Pressure=1672, Time=2016-05-16-17-33-33:3099
X=152, Y=279, Pressure=1649, Time=2016-05-16-17-33-33:3139
X=156, Y=279, Pressure=1663, Time=2016-05-16-17-33-33:3199
X=159, Y=279, Pressure=1637, Time=2016-05-16-17-33-33:3249
X=163, Y=279, Pressure=1633, Time=2016-05-16-17-33-33:3299
X=166, Y=279, Pressure=1608, Time=2016-05-16-17-33-33:3339
X=165, Y=279, Pressure=1580, Time=2016-05-16-17-33-33:3399
X=168, Y=279, Pressure=1537, Time=2016-05-16-17-33-33:3449
X=169, Y=279, Pressure=1508, Time=2016-05-16-17-33-33:3509
X=171, Y=279, Pressure=1439, Time=2016-05-16-17-33-33:3539
X=174, Y=279, Pressure=1330, Time=2016-05-16-17-33-33:3599
X=175, Y=279, Pressure=1161, Time=2016-05-16-17-33-33:3639
X=176, Y=279, Pressure=893, Time=2016-05-16-17-33-33:3699
X=178, Y=279, Pressure=738, Time=2016-05-16-17-33-33:3739
X=179, Y=280, Pressure=607, Time=2016-05-16-17-33-33:3809
X=179, Y=280, Pressure=444, Time=2016-05-16-17-33-33:3839
X=108, Y=352, Pressure=1569, Time=2016-05-16-17-33-33:5659
X=108, Y=352, Pressure=1563, Time=2016-05-16-17-33-33:5669
X=109, Y=352, Pressure=1594, Time=2016-05-16-17-33-33:5719
X=109, Y=352, Pressure=1629, Time=2016-05-16-17-33-33:5759
X=110, Y=352, Pressure=1641, Time=2016-05-16-17-33-33:5819
X=111, Y=352, Pressure=1639, Time=2016-05-16-17-33-33:5859
X=112, Y=352, Pressure=1631, Time=2016-05-16-17-33-33:5919
X=114, Y=352, Pressure=1649, Time=2016-05-16-17-33-33:5959
X=117, Y=351, Pressure=1643, Time=2016-05-16-17-33-33:6019
X=119, Y=350, Pressure=1631, Time=2016-05-16-17-33-33:6059
X=121, Y=349, Pressure=1643, Time=2016-05-16-17-33-33:6119
X=123, Y=348, Pressure=1665, Time=2016-05-16-17-33-33:6159
X=127, Y=346, Pressure=1647, Time=2016-05-16-17-33-33:6219
X=130, Y=345, Pressure=1676, Time=2016-05-16-17-33-33:6259
X=133, Y=343, Pressure=1678, Time=2016-05-16-17-33-33:6329
X=136, Y=342, Pressure=1653, Time=2016-05-16-17-33-33:6359
X=139, Y=340, Pressure=1643, Time=2016-05-16-17-33-33:6419
X=142, Y=338, Pressure=1612, Time=2016-05-16-17-33-33:6459
X=144, Y=337, Pressure=1557, Time=2016-05-16-17-33-33:6529
X=147, Y=336, Pressure=1498, Time=2016-05-16-17-33-33:6569
X=149, Y=334, Pressure=1418, Time=2016-05-16-17-33-33:6629
X=152, Y=333, Pressure=1230, Time=2016-05-16-17-33-33:6679
X=153, Y=332, Pressure=1018, Time=2016-05-16-17-33-33:6779
X=155, Y=331, Pressure=840, Time=2016-05-16-17-33-33:6819
X=156, Y=331, Pressure=619, Time=2016-05-16-17-33-33:6879
X=89, Y=439, Pressure=1696, Time=2016-05-16-17-33-33:8289
X=88, Y=441, Pressure=1714, Time=2016-05-16-17-33-33:8289
X=88, Y=442, Pressure=1680, Time=2016-05-16-17-33-33:8339
X=87, Y=443, Pressure=1704, Time=2016-05-16-17-33-33:8379
X=86, Y=446, Pressure=1757, Time=2016-05-16-17-33-33:8449
X=85, Y=447, Pressure=1735, Time=2016-05-16-17-33-33:8509
X=85, Y=447, Pressure=1790, Time=2016-05-16-17-33-33:8549
X=84, Y=448, Pressure=1806, Time=2016-05-16-17-33-33:8599
X=85, Y=448, Pressure=1800, Time=2016-05-16-17-33-33:8649
X=85, Y=448, Pressure=1794, Time=2016-05-16-17-33-33:8709
X=86, Y=447, Pressure=1790, Time=2016-05-16-17-33-33:8749
X=87, Y=446, Pressure=1796, Time=2016-05-16-17-33-33:8799
X=90, Y=444, Pressure=1790, Time=2016-05-16-17-33-33:8839
X=95, Y=440, Pressure=1772, Time=2016-05-16-17-33-33:8899
X=98, Y=436, Pressure=1766, Time=2016-05-16-17-33-33:8949
X=102, Y=433, Pressure=1772, Time=2016-05-16-17-33-33:8999
X=106, Y=429, Pressure=1757, Time=2016-05-16-17-33-33:9039
X=110, Y=424, Pressure=1694, Time=2016-05-16-17-33-33:9099
X=115, Y=420, Pressure=1606, Time=2016-05-16-17-33-33:9139
X=119, Y=415, Pressure=1529, Time=2016-05-16-17-33-33:9199
X=124, Y=410, Pressure=1408, Time=2016-05-16-17-33-33:9239
X=129, Y=405, Pressure=1261, Time=2016-05-16-17-33-33:9299
X=133, Y=400, Pressure=991, Time=2016-05-16-17-33-33:9339
X=138, Y=395, Pressure=125, Time=2016-05-16-17-33-33:9399
X=180, Y=303, Pressure=1721, Time=2016-05-16-17-33-34:1579
X=180, Y=303, Pressure=1719, Time=2016-05-16-17-33-34:1589
X=180, Y=303, Pressure=1733, Time=2016-05-16-17-33-34:1619
X=180, Y=303, Pressure=1733, Time=2016-05-16-17-33-34:1679
X=180, Y=303, Pressure=1745, Time=2016-05-16-17-33-34:1719
X=180, Y=303, Pressure=1772, Time=2016-05-16-17-33-34:1789
X=180, Y=303, Pressure=1766, Time=2016-05-16-17-33-34:1819
X=181, Y=304, Pressure=1766, Time=2016-05-16-17-33-34:1879
X=181, Y=304, Pressure=1780, Time=2016-05-16-17-33-34:1919
X=183, Y=304, Pressure=1772, Time=2016-05-16-17-33-34:1979
X=186, Y=304, Pressure=1759, Time=2016-05-16-17-33-34:2019
X=190, Y=303, Pressure=1764, Time=2016-05-16-17-33-34:2079
X=192, Y=303, Pressure=1764, Time=2016-05-16-17-33-34:2119
X=196, Y=302, Pressure=1759, Time=2016-05-16-17-33-34:2179
X=200, Y=302, Pressure=1723, Time=2016-05-16-17-33-34:2219
X=209, Y=300, Pressure=1733, Time=2016-05-16-17-33-34:2279
X=214, Y=299, Pressure=1729, Time=2016-05-16-17-33-34:2319
X=219, Y=298, Pressure=1733, Time=2016-05-16-17-33-34:2379
X=224, Y=297, Pressure=1739, Time=2016-05-16-17-33-34:2419
X=229, Y=296, Pressure=1721, Time=2016-05-16-17-33-34:2479
X=233, Y=295, Pressure=1733, Time=2016-05-16-17-33-34:2529
X=237, Y=294, Pressure=1741, Time=2016-05-16-17-33-34:2579
X=241, Y=293, Pressure=1735, Time=2016-05-16-17-33-34:2629
X=244, Y=292, Pressure=1731, Time=2016-05-16-17-33-34:2679
X=248, Y=291, Pressure=1729, Time=2016-05-16-17-33-34:2719
X=250, Y=290, Pressure=1717, Time=2016-05-16-17-33-34:2779
X=252, Y=290, Pressure=1647, Time=2016-05-16-17-33-34:2819
X=254, Y=289, Pressure=1553, Time=2016-05-16-17-33-34:2879
X=256, Y=289, Pressure=1396, Time=2016-05-16-17-33-34:2919
X=258, Y=288, Pressure=1177, Time=2016-05-16-17-33-34:2979
X=260, Y=288, Pressure=562, Time=2016-05-16-17-33-34:3019
X=261, Y=288, Pressure=460, Time=2016-05-16-17-33-34:3079
X=263, Y=287, Pressure=376, Time=2016-05-16-17-33-34:3139
X=264, Y=287, Pressure=270, Time=2016-05-16-17-33-34:3179
X=241, Y=301, Pressure=1522, Time=2016-05-16-17-33-34:4139
X=240, Y=301, Pressure=1527, Time=2016-05-16-17-33-34:4149
X=240, Y=302, Pressure=1563, Time=2016-05-16-17-33-34:4179
X=239, Y=303, Pressure=1608, Time=2016-05-16-17-33-34:4239
X=237, Y=306, Pressure=1621, Time=2016-05-16-17-33-34:4279
X=234, Y=310, Pressure=1637, Time=2016-05-16-17-33-34:4339
X=233, Y=312, Pressure=1663, Time=2016-05-16-17-33-34:4379
X=231, Y=315, Pressure=1674, Time=2016-05-16-17-33-34:4439
X=230, Y=319, Pressure=1684, Time=2016-05-16-17-33-34:4499
X=229, Y=323, Pressure=1700, Time=2016-05-16-17-33-34:4549
X=228, Y=327, Pressure=1694, Time=2016-05-16-17-33-34:4610
X=226, Y=332, Pressure=1698, Time=2016-05-16-17-33-34:4640
X=225, Y=336, Pressure=1702, Time=2016-05-16-17-33-34:4700
X=224, Y=341, Pressure=1696, Time=2016-05-16-17-33-34:4740
X=223, Y=346, Pressure=1686, Time=2016-05-16-17-33-34:4800
X=223, Y=350, Pressure=1694, Time=2016-05-16-17-33-34:4840
X=222, Y=354, Pressure=1686, Time=2016-05-16-17-33-34:4900
X=221, Y=358, Pressure=1688, Time=2016-05-16-17-33-34:4940
X=221, Y=362, Pressure=1684, Time=2016-05-16-17-33-34:5000
X=220, Y=365, Pressure=1678, Time=2016-05-16-17-33-34:5040
X=220, Y=368, Pressure=1665, Time=2016-05-16-17-33-34:5100
X=219, Y=371, Pressure=1665, Time=2016-05-16-17-33-34:5140
X=219, Y=374, Pressure=1655, Time=2016-05-16-17-33-34:5200
X=219, Y=374, Pressure=1602, Time=2016-05-16-17-33-34:5240
X=219, Y=376, Pressure=1574, Time=2016-05-16-17-33-34:5300
X=218, Y=379, Pressure=1518, Time=2016-05-16-17-33-34:5340
X=218, Y=381, Pressure=1418, Time=2016-05-16-17-33-34:5400
X=218, Y=383, Pressure=1312, Time=2016-05-16-17-33-34:5440
X=178, Y=406, Pressure=1365, Time=2016-05-16-17-33-34:6720
X=177, Y=406, Pressure=1418, Time=2016-05-16-17-33-34:6730
X=176, Y=407, Pressure=1453, Time=2016-05-16-17-33-34:6760
X=175, Y=407, Pressure=1459, Time=2016-05-16-17-33-34:6820
X=172, Y=408, Pressure=1463, Time=2016-05-16-17-33-34:6860
X=171, Y=409, Pressure=1467, Time=2016-05-16-17-33-34:6920
